SKU,Cluster,Model,MSE,MAPE
1563,0,"ARIMA(1, 0, 0)",3755122.6159650492,70.29055489749129
1596,1,"ARIMA(0, 0, 1)",69239.57102660883,442.5032762915682
4271,2,"ARIMA(2, 0, 0)",303522.516185364,3337.9582433569494
6206,3,"ARIMA(1, 0, 1)",772744.5597210997,382.5469732341384
3086,4,"ARIMA(1, 0, 0)",40577.05474775314,94.36049439122819
3260,5,"ARIMA(2, 0, 0)",23061.836713772664,154.09606141188476
