SKU,Cluster,Model,MSE,MAPE
1563,0,"SARIMA((1, 0, 0), (0, 0, 0, 12))",3755122.6159650492,70.29055489749129
1596,1,"SARIMA((2, 0, 0), (0, 0, 0, 12))",205886.4308816482,283.4362812612127
4271,2,"SARIMA((1, 0, 0), (1, 0, 0, 12))",168801.262696135,1931.5943678533424
6206,3,"SARIMA((0, 0, 1), (0, 1, 0, 12))",3197857.352852483,491.4855942695188
3086,4,"SARIMA((1, 0, 0), (0, 0, 0, 12))",40577.05474775314,94.36049439122819
3260,5,"SARIMA((2, 0, 0), (0, 0, 0, 12))",23061.836713772664,154.09606141188476
