SKU,Cluster,Model,MSE,MAPE
1563,0,"ETS(A,A,A)",6034888.381078999,93.2344359229258
1596,1,"ETS(A,A,A)",1120799.4028770616,724.8623576281125
4271,2,"ETS(A,A,A)",415990.92119197757,2527.144355964711
6206,3,"ETS(A,A,A)",2179079.2668438423,422.34812501728595
3086,4,"ETS(A,A,A)",61486.55114432223,100.98607846470222
3260,5,"ETS(A,A,A)",37491.94301371916,149.63881490504113
