SKU,Cluster,Model,MSE,MAPE
1563,0,"ARIMAX(1, 0, 0)",4640461.045290012,78.63286583121634
1596,1,"ARIMAX(0, 0, 1)",129955.14625747848,242.34196817464635
4271,2,"ARIMAX(0, 0, 1)",700828.9985540205,1783.462386571243
6206,3,"ARIMAX(0, 0, 1)",2479451.446255792,534.2031446237309
3086,4,"ARIMAX(1, 0, 0)",157380.89352174057,236.7959240744916
3260,5,"ARIMAX(2, 0, 1)",26458.620510152472,207.6414232873832
