SKU,Cluster,Model,MSE,MAPE
1563,0,"SARIMAX((1, 0, 0), (0, 0, 0, 12))",12420630.39411086,100.98215927716357
1596,1,"SARIMAX((0, 0, 1), (1, 0, 0, 12))",233881.7373707075,364.9099046455805
4271,2,"SARIMAX((0, 0, 0), (1, 0, 0, 12))",709915.7486167895,2155.858367952578
6206,3,"SARIMAX((0, 0, 0), (0, 1, 0, 12))",10164901.325130975,1341.9886359505354
3086,4,"SARIMAX((1, 0, 0), (1, 0, 0, 12))",148653.102883923,225.74177416796908
3260,5,"SARIMAX((3, 0, 0), (0, 0, 0, 12))",24327.84814024552,202.55382257338286
